,Airline,Source,Destination,Total_Stops,Price,Duration_In_Min,Dep_hour,Dep_min,Arrival_hour,Arrival_min,Journey_month,Journey_day
0,IndiGo,Banglore,New Delhi,0,3897,170.0,22,20,1,10,March,Sunday
1,Air India,Kolkata,Banglore,2,7662,445.0,5,50,13,15,May,Wednesday
2,Jet Airways,Delhi,Cochin,2,13882,1140.0,9,25,4,25,June,Sunday
3,IndiGo,Kolkata,Banglore,1,6218,325.0,18,5,23,30,May,Sunday
4,IndiGo,Banglore,New Delhi,1,13302,285.0,16,50,21,35,March,Friday
5,SpiceJet,Kolkata,Banglore,0,3873,145.0,9,0,11,25,June,Monday
6,Jet Airways,Banglore,New Delhi,1,11087,930.0,18,55,10,25,March,Tuesday
7,Jet Airways,Banglore,New Delhi,1,22270,1265.0,8,0,5,5,March,Friday
8,Jet Airways,Banglore,New Delhi,1,11087,1530.0,8,55,10,25,March,Tuesday
9,Multiple carriers,Delhi,Cochin,1,8625,470.0,11,25,19,15,May,Monday
10,Air India,Delhi,Cochin,1,8907,795.0,9,45,23,0,June,Saturday
11,IndiGo,Kolkata,Banglore,0,4174,155.0,20,20,22,55,April,Thursday
12,Air India,Chennai,Kolkata,0,4667,135.0,11,40,13,55,June,Monday
13,Jet Airways,Kolkata,Banglore,1,9663,730.0,21,10,9,20,May,Thursday
14,IndiGo,Kolkata,Banglore,0,4804,155.0,17,15,19,50,April,Wednesday
15,Air India,Delhi,Cochin,2,14011,1595.0,16,40,19,15,March,Sunday
16,SpiceJet,Delhi,Cochin,1,5830,270.0,8,45,13,15,April,Monday
17,Jet Airways,Delhi,Cochin,1,10262,1355.0,14,0,12,35,June,Wednesday
18,Air India,Delhi,Cochin,2,13381,1380.0,20,15,19,15,June,Wednesday
19,Jet Airways,Delhi,Cochin,1,12898,1235.0,16,0,12,35,May,Monday
20,GoAir,Delhi,Cochin,1,19495,310.0,14,10,19,20,March,Wednesday
21,Air India,Banglore,New Delhi,1,6955,920.0,22,0,13,20,March,Thursday
22,IndiGo,Banglore,Delhi,0,3943,170.0,4,0,6,50,April,Wednesday
23,IndiGo,Banglore,Delhi,0,4823,175.0,18,55,21,50,May,Wednesday
24,Jet Airways,Kolkata,Banglore,1,7757,800.0,18,55,8,15,May,Monday
25,Jet Airways,Delhi,Cochin,2,13292,910.0,21,25,12,35,June,Sunday
26,IndiGo,Delhi,Cochin,1,8238,345.0,21,50,3,35,June,Saturday
27,GoAir,Delhi,Cochin,1,7682,355.0,7,0,12,55,May,Wednesday
28,Vistara,Banglore,Delhi,0,4668,170.0,9,45,12,35,June,Tuesday
29,Vistara,Chennai,Kolkata,0,3687,135.0,7,5,9,20,June,Saturday
